"x","y","z"
326656,4765257,-2169
324165,4769925,-3267
324235,4769885,-3346
326514,4765653,-1923
326168,4764681,-1591
325135,4764079,-4280
326817,4760905,-1532
327689,4765708,-484
326324,4765870,-2512
323933,4772705,-3476
328444,4767922,-446
326738,4763474,-5295
325656,4765513,-3530
330596,4762938,-6412
321265,4770823,-1809
326011,4766093,-3085
323455,4764256,-5184
322791,4764666,-5748
323727,4765488,-5315
326086,4767042,-2134
326259,4761713,-3580
331934,4764222,-1173
332076,4764327,-1373
331331,4756476,-4159
328324,4760976,-1718
333963,4755306,-2319
321777,4768137,-6541
322822,4765439,-6732
326537,4760701,-3333
322949,4762859,-5756
331406,4763019,116
332523,4754544,-3306
325707,4766612,-1962
329163,4761386,-1942
327860,4764716,-568
327664,4765127,-833
322831,4764731,-5922
323222,4767811,-3664
327683,4762222,-1315
326057,4762477,-406
326050,4764827,-3638
327677,4766145,-810
327097,4761743,-2627
332461,4754287,-4004
326263,4767814,-1443
324164,4763559,-906
321675,4772121,-3785
327236,4762706,-917
320489,4772436,-3978
322391,4765457,-6890
327670,4761559,59
327559,4764671,-952
328076,4767076,-1001
326625,4764345,-1956
325377,4763297,-3722
326997,4761204,-3298
329895,4757745,-1480
321865,4770352,-6364
326721,4761042,-3622
327281,4762532,-115
330466,4758489,-2099
317758,4776075,-7274
325412,4759830,-5161
323531,4763617,-5309
323577,4763736,-5271
327468,4763548,-1264
327503,4763372,-1023
326872,4764697,-1365
327330,4763242,-1689
328057,4762196,-1256
325775,4765042,-4235
325357,4766387,-4083
327978,4762262,-1217
326615,4760079,-3427
326040,4759205,-3163
327108,4761163,-2378
327560,4763298,163
323297,4761698,-863
327497,4762972,-907
323261,4763916,-5905
323169,4763078,-6095
327224,4762617,-2310
326991,4761909,-2335
322733,4762474,-5710
332687,4754195,-4504
320825,4775550,-3945
320313,4773282,-4471
326008,4765810,-2942
326755,4765061,-2133
327157,4761179,-3470
326637,4764344,-1896
326122,4765915,-3505
326687,4764297,-1850
322814,4773716,-2821
329988,4756695,-1203
326724,4761104,-3528
325117,4760425,-4913
327202,4762374,-2460
320501,4769335,-7946
331625,4763507,-839
332309,4753881,-4985
330497,4761515,-1052
327920,4761386,-1412
328652,4768559,-1651
327224,4762919,-1448
326201,4759706,-4353
319279,4777190,-5788
334642,4755001,-2759
322308,4764353,-6289
329978,4757164,-4790
327283,4767872,-1655
326801,4765381,-1124
323951,4772686,-2069
326706,4765237,-1266
322445,4772507,-4859
326156,4760111,-3603
327739,4766275,-782
326263,4759822,-4180
326589,4764211,-2416
327206,4762793,-1214
330807,4761733,-4729
327750,4766221,-788
327082,4768001,-1496
327068,4768027,-1401
326299,4765945,-2384
327134,4762678,-1044
333771,4754655,-3029
333512,4765397,-747
332019,4764703,-661
330998,4755604,-756
326228,4764622,-3270
326357,4765960,-3436
325841,4765624,-3630
329984,4758453,-1969
323327,4766711,-4163
330180,4758437,-2236
329701,4757809,-1493
326887,4764396,-1642
330515,4761663,-5678
332910,4765063,-754
332782,4765033,-711
331068,4755850,-1644
321919,4771857,-4100
